ID,Data da ação,Semana,Perfil,Tipo de distribuição,Formato,Tema / Campanha,Pilar,Objetivo,Headline,Texto de apoio,Legenda,CTA,Tags / Hashtags,Roteiro,Ideia de arte / Thumb,Link para arquivo,Responsável,Status,OBS,Avaliação e Aprendizados,Campanha
EPQ-AGO-001,04/08/2026,P1,EPQ,Exclusivo,Post,Estudo por questões: por onde começar,Estude Melhor,Educação,3 passos para usar questões como ferramenta de estudo,,"Comece pelo erro, não pelo conteúdo.",Comece hoje,#EstudoPorQuestões #EPQ,,"Carrossel: passo 1, passo 2, passo 3",,Conteúdo,Planejado,Sincronizar com semana do PMERJ,,
RON-AGO-001,05/08/2026,P1,Ronan,Exclusivo,Reel,Rotina de quem corrige provas,Bastidores e Humanização,Relacionamento,O que ninguém mostra sobre corrigir provas,,A correção também ensina.,,#RotinaDeProfessor #Ronan,Roteiro 15s,"Ambiente: sala de correção, luz natural.",,Conteúdo,Ideia,Grabar terça à noite,,
INT-AGO-001,06/08/2026,P1,EPQ,Integrado,Carrossel + Reel,Erro: só ler sem praticar questões,Erros Comuns,Educação,"Você estuda muito, mas aprende pouco?",,EPQ: o método. Ronan: a experiência.,,#ErroComum #EstudoInteligente,,,Conteúdo,Planejado,Publicar no mesmo dia,,,Bolsão
EPQ-AGO-002,07/08/2026,P1,EPQ,Exclusivo,Story,Desafio: 50 questões hoje,Comunidade,Engajamento,Desafio EPQ da semana,,Marque quem vai aceitar.,Aceito,#TimeEPQ #Desafio,,,Conteúdo,Aprovação,,,,
RON-AGO-002,12/08/2026,P2,Ronan,Exclusivo,Reel,Fazer questões sem revisar: mito ou verdade,Mito x Verdade,Alcance,Revisar o erro é mais importante que acertar,,Eu vejo isso todo dia em sala.,,#MitoVerdade #Ronan,,,Conteúdo,Planejado,,,,
EPQ-AGO-003,13/08/2026,P2,EPQ,Exclusivo,Post,Aluno aprovado: Gustavo — PMERJ,Prova Social,Educação,Gustavo saiu do zero à aprovação em 8 meses,,"História real, método EPQ.",Conheça o método,#Aprovado #PMERJ #ProvaSocial,,,Conteúdo,Ideia,Aguardar depoimento em vídeo,,,
EPQ-AGO-004,14/08/2026,P2,EPQ,Exclusivo,Carrossel,Como revisar erros sem repeti-los,Estude Melhor,Educação,Revisão inteligente em 4 passos,,Revisão não é repetir: é atualizar.,,#Revisão #EPQ,,,Conteúdo,Ajuste,,,,
RON-AGO-003,19/08/2026,P3,Ronan,Exclusivo,Vídeo,O que eu vejo em sala antes do aluno perceber,Autoridade e Método,Autoridade,"Antes do aluno chegar à conclusão, eu já vi o padrão",,Professor vê padrões.,,#ProfessorRonan #Autoridade,,,Conteúdo,Publicado,Avaliar até 20/08,,,
INT-AGO-002,20/08/2026,P3,EPQ,Integrado,Campanha,PMERJ: últimos dias até a prova,Editais e Oportunidades,Conversão,PMERJ: última semana para fechar ciclo,,EPQ: cronograma. Ronan: motivação.,,#PMERJ #Oportunidade,,,Comercial,Agendar,,,,Bolsão
EPQ-AGO-005,21/08/2026,P3,EPQ,Exclusivo,Post,PMERJ: cronograma oficial até o dia da prova,Editais e Oportunidades,Alcance,"Datas, locais e regras atualizadas",,Salve para não perder prazos.,Ver edital,#PMERJ #Edital #Oportunidades,,,Comercial,Planejado,,,,
RON-AGO-004,26/08/2026,P4,Ronan,Exclusivo,Vídeo,Minha análise do edital da PMERJ,Editais e Oportunidades,Autoridade,O que realmente importa no edital da PMERJ,,Visão prática do professor.,,#PMERJ #Ronan,,,Comercial,Planejado,,,,
EPQ-AGO-006,27/08/2026,P4,EPQ,Exclusivo,Carrossel,Planejamento semanal sem queimar etapas,Estude Melhor,Educação,Planeje a semana sem ansiedade,,"Distribua matérias, não apenas horas.",,#Planejamento #EPQ,,,Conteúdo,Planejado,,,,
EPQ-SET-001,02/09/2026,P1,EPQ,Exclusivo,Post,Estudo por questões: rotina de 1 semana,Estude Melhor,Educação,Segunda a sexta usando questões,,"Rotina curta, repetível.",,#Rotina #EPQ,,,Conteúdo,Planejado,,,,
RON-SET-001,03/09/2026,P1,Ronan,Exclusivo,Reel,Aluno que não escuta e repete o mesmo erro,Erros Comuns,Educação,O erro que eu canso de ver na correção,,"Espontâneo, sem roteiro.",,#ErrosComuns #Ronan,,,Conteúdo,Ideia,,,,
INT-SET-001,04/09/2026,P1,EPQ,Integrado,Carrossel + Reel,Resolver questões sem entender o erro: mito ou verdade,Mito x Verdade,Alcance,Quantidade sem qualidade não aprova,,"EPQ explica, Ronan exemplifica.",,#MitoVerdade #Estudo,,,Conteúdo,Planejado,,,,Bolsão
