linha_aba,id_lead,coluna,acao,valor
3,1,K,REPLACE,15/09/2026
3,1,L,APPEND,FOLLOW-UP 15/09 (P0): Objeção real (filho no ESPCEX no dia do aulão) — negociável; precisa de alternativa à aula presencial.
3,1,O,REPLACE,P0
4,2,K,REPLACE,15/09/2026
4,2,L,APPEND,FOLLOW-UP 15/09 (P0): Aguardando resolução de situação no trabalho antes de fechar; pediu prazo e retornar espontaneamente.
4,2,O,REPLACE,P0
5,3,K,REPLACE,15/09/2026
5,3,L,APPEND,FOLLOW-UP 15/09 (P1): Recebeu valores e parou — possível objeção de preço não declarada; reengajar com aula experimental.
5,3,O,REPLACE,P1
6,4,K,REPLACE,15/09/2026
6,4,L,APPEND,FOLLOW-UP 15/09 (P1): Recebeu tabela combo e parou — não confirmou aulão; reengajar com tour da turma aberta.
6,4,O,REPLACE,P1
7,5,F,FIX,PMERG→PMERJ
7,5,K,REPLACE,15/09/2026
7,5,L,APPEND,"FOLLOW-UP 15/09 (P0): Perguntas concretas (inscrição, requisitos, edital, valores) nunca respondidas — atendimento falhou."
7,5,O,REPLACE,P0
8,6,K,REPLACE,15/09/2026
8,6,L,APPEND,FOLLOW-UP 15/09 (P0): Erro de digitação 'PMERG' + lead não percebeu conversa ativa; retomar com PMERJ e perguntar turno.
8,6,O,REPLACE,P0
9,7,K,REPLACE,15/09/2026
9,7,L,APPEND,FOLLOW-UP 15/09 (P1): Dúvida de legitimidade do concurso; precisa de reforço de credibilidade + prova prática.
9,7,O,REPLACE,P1
10,8,K,REPLACE,15/09/2026
10,8,L,APPEND,FOLLOW-UP 15/09 (P1): Recebeu turmas e parou sem escolher turno; fechar a escolha de turno.
10,8,O,REPLACE,P1
11,9,K,REPLACE,15/09/2026
11,9,L,APPEND,FOLLOW-UP 15/09 (P1): Confirmou GCM noturno mas não confirmou aulão; aulão passou — usar turma aberta como gatilho.
11,9,O,REPLACE,P1
12,10,K,REPLACE,15/09/2026
12,10,L,APPEND,"FOLLOW-UP 15/09 (P1): Recebeu valores, disse 'Entendi'; repouso médico — sem pressa, reservar aula na próxima semana."
12,10,O,REPLACE,P1
13,11,K,REPLACE,15/09/2026
13,11,L,APPEND,FOLLOW-UP 15/09 (P1): Sem telefone; prioridade difusa (vários concursos); definir o concurso-alvo.
13,11,O,REPLACE,P1
14,12,K,REPLACE,15/09/2026
14,12,L,APPEND,FOLLOW-UP 15/09 (P0): Equipe desviou conversa para GCM; nunca recebeu oferta real de PMERJ — corrigir rota.
14,12,O,REPLACE,P0
15,13,K,REPLACE,15/09/2026
15,13,L,APPEND,FOLLOW-UP 15/09 (P1): Sem telefone; aguardando disponibilidade da aula experimental.
15,13,O,REPLACE,P1
16,14,K,REPLACE,15/09/2026
16,14,L,APPEND,"FOLLOW-UP 15/09 (P1): Sem telefone; aguardando horário concreto (noite definido, horário não)."
16,14,O,REPLACE,P1
17,15,K,REPLACE,15/09/2026
17,15,L,APPEND,FOLLOW-UP 15/09 (P0): Sem telefone; resposta tardia + genérica da equipe; sem data de abertura.
17,15,O,REPLACE,P0
18,16,K,REPLACE,15/09/2026
18,16,L,APPEND,FOLLOW-UP 15/09 (P0): Pergunta direta (unidade Nilópolis) sem resposta — decidir continuidade.
18,16,O,REPLACE,P0
19,17,K,REPLACE,15/09/2026
19,17,L,APPEND,FOLLOW-UP 15/09 (P1): Equipe perguntou turno e lead não respondeu; retomar turno.
19,17,O,REPLACE,P1
20,18,K,REPLACE,15/09/2026
20,18,L,APPEND,FOLLOW-UP 15/09 (P1): Equipe pediu nome; sem resposta.
20,18,O,REPLACE,P1
21,19,F,FIX,PMERG→PMERJ
21,19,K,REPLACE,15/09/2026
21,19,L,APPEND,FOLLOW-UP 15/09 (P1): Equipe pediu nome/área; sem resposta.
21,19,O,REPLACE,P1
22,20,K,REPLACE,15/09/2026
22,20,L,APPEND,FOLLOW-UP 15/09 (P0): Erro de digitação 'PMERG'; sem follow-up posterior.
22,20,O,REPLACE,P0
23,21,K,REPLACE,não agendar (frio)
23,21,L,APPEND,FOLLOW-UP 15/09 (P2): Só clique + pedido de nome; sem resposta.
