plataforma,tipo,nome,url,foco,uf,cidade,publico,atividade,relevancia,permite_divulgacao,admin,observacoes,fonte
,,Grupo de estudos PMERJ 2026,https://chat.whatsapp.com/EZaJgsCyiBQ5dYdpch7UcP,Concurso PMERJ,RJ,,,,,,,,01_whatsapp.json
,,Grupo de estudos PMERJ,https://chat.whatsapp.com/IUKb3ULrsanAtVOQzjfGi3,Concurso PMERJ,RJ,,,,,,,,01_whatsapp.json
,,Grupo de estudos CBMERJ,https://chat.whatsapp.com/I0dzOZk8v6sBhTzDQ6OEkK,Concurso CBMERJ,RJ,,,,,,,,01_whatsapp.json
,,Comunidade CBMERJ Soldado Temporário,https://chat.whatsapp.com/EHXBwhY2YgQ7if1DzQS3dM,Concurso CBMERJ Soldado Temporário,RJ,,,,,,,,01_whatsapp.json
,,PASSEI Curso Preparatório - PMERJ,https://chat.whatsapp.com/JMx2LquR2FkG5mMMVGGVnp,Concurso PMERJ,RJ,,,,,,,,01_whatsapp.json
,,Grupo de estudos PMERJ,https://chat.whatsapp.com/FQk6SpaHJjfDVcpQePrANm,Concurso PMERJ,RJ,,,,,,,,01_whatsapp.json
,,Focus Concursos - PMERJ,https://chat.whatsapp.com/Lf0R7WUj0NxINHg8gkmlhC,Concurso PMERJ,RJ,,,,,,,,01_whatsapp.json
,,Grupo Concurso PM,https://chat.whatsapp.com/BOv83PY9ymW4jXJ0vOuyU2,Concurso Polícia Militar,RJ,,,,,,,,01_whatsapp.json
,,Grupo Concurso PM,https://chat.whatsapp.com/LYojehFUU73DXUb6DTRxVrvf,Concurso Polícia Militar,RJ,,,,,,,,01_whatsapp.json
,,Intensivo ESA e EsPCEx,https://chat.whatsapp.com/IACESeaM05oIiaOKzwYLi3,ESA / EsPCEx, Nacional,,,,,,,,01_whatsapp.json
,,Grupo ESA,https://chat.whatsapp.com/IJR2qz7nW3z6OYousDGdeK,ESA, Nacional,,,,,,,,01_whatsapp.json
,,Grupo CN/EPCAR,https://chat.whatsapp.com/KT1FFfFgaTR9TsAUI9hJbB,CN / EPCAR, Nacional,,,,,,,,01_whatsapp.json
,,Intensivo ESA e EsPCEx,https://chat.whatsapp.com/KlmyZabiQlUBIF8RckS0PT,ESFCEx / ESA, Nacional,,,,,,,,01_whatsapp.json
,,Concursos Militares - Zerohum Militar,https://chat.whatsapp.com/I6UWbOXBHV2Gx1fv0FZoJZ,Concursos Militares, Nacional,,,,,,,,01_whatsapp.json
,,Grupo Concurso Militar,https://chat.whatsapp.com/EAc6pJG27jBFPhYKiQKCWd,Concursos Militares, Nacional,,,,,,,,01_whatsapp.json
,,Dedicação Delta,https://chat.whatsapp.com/DjnyHQC3BmaLTal3cWUAg8,Concursos Militares / Policiais, Nacional,,,,,,,,01_whatsapp.json
,,Estratégia Militares,https://chat.whatsapp.com/BDYyseVYEWJLSDIk51zL55,Concursos Militares, Nacional,,,,,,,,01_whatsapp.json
,,Concurseiros RJ,https://chat.whatsapp.com/H6Xi5SDaj0fD0VfDmM4SLd,Concursos Públicos RJ,RJ,,,,,,,,01_whatsapp.json
,,Grupo Delegado,https://chat.whatsapp.com/HjkbCkjnq8sBGCmtScwmU5,Concurso Delegado (PCERJ/PF/PCCE),RJ,,,,,,,,01_whatsapp.json
,,JS Advocacia - Concursos Públicos,https://chat.whatsapp.com/D2gRQbajW4ZEqrIw6MaKFa,Concursos Públicos, Nacional,,,,,,,,01_whatsapp.json
,,ESA - Escola de Sargentos das Armas,https://www.facebook.com/groups/grupoessa,ESA,RJ,,,,,,,,02_facebook.json
,,"ESA, EsSLog, CIAvEx - Concurso",https://www.facebook.com/groups/concursoesa,ESA / EsSLog / CIAvEx,RJ,,,,,,,,02_facebook.json
,,Estudos ESA,https://www.facebook.com/groups/EstudosEsSA,ESA,RJ,,,,,,,,02_facebook.json
,,CONCURSO SOLDADO PMERJ,https://www.facebook.com/groups/concursopublicopmerj,Concurso PMERJ,RJ,,,,,,,,02_facebook.json
,,EsPCEx - Concurso,https://www.facebook.com/groups/concursoespcex,EsPCEx,RJ,,,,,,,,02_facebook.json
,,EsPCEx,https://www.facebook.com/groups/661785824217488,EsPCEx,RJ,,,,,,,,02_facebook.json
,,Estudos ESA,https://www.facebook.com/groups/184882808872178,ESA,RJ,,,,,,,,02_facebook.json
,,ESA 2024/2025 Matemática Certa,https://www.facebook.com/groups/projetoesa,ESA,RJ,,,,,,,,02_facebook.json
,,Concurso CBMERJ - Bombeiro Militar,https://www.facebook.com/groups/134781181798510,Concurso CBMERJ,RJ,,,,,,,,02_facebook.json
,,EsPCEx - Escola Preparatória de Cadetes do Exército,https://www.facebook.com/groups/124461134375480,EsPCEx,RJ,,,,,,,,02_facebook.json
,,CONCURSO BOMBEIRO MILITAR- RJ,https://www.facebook.com/groups/concursocbmerj,Concurso CBMERJ,RJ,,,,,,,,02_facebook.json
,,Concurso Polícia Militar do Rio de Janeiro - PMRJ 2023/2024,https://www.facebook.com/groups/Concurso.PMRJ,Concurso PMERJ,RJ,,,,,,,,02_facebook.json
,,CONCURSO PMERJ 2023 - POLÍCIA MILITAR RJ,https://www.facebook.com/groups/597218070777778,Concurso PMERJ,RJ,,,,,,,,02_facebook.json
,,Grupo de estudos - EsPCEx,https://www.facebook.com/groups/Grupodeestudos.EsPCEx,EsPCEx,RJ,,,,,,,,02_facebook.json
